,MaxBenefit,x0,sigma,MassLoss,GrowthRate,OffspringNum,Symmetry,OffspringSet,dummy
187,8.318,5.0,3.0,1.0,7.2107673718411815,3,0.9865,2.39; 2.35; 2.38;,
188,0.363,5.0,3.0,1.0,1.1972362023077283,5,0.9869,1.82; 1.83; 1.8; 1.82; 1.82;,
189,4.7860000000000005,5.0,1.0,1.0,2.6578098493142117,2,0.9964,3.06; 3.08;,
190,1.445,5.0,3.0,1.0,1.9991299868637968,3,0.9958,2.46; 2.45; 2.46;,
191,3.6310000000000002,5.0,3.0,1.0,3.6577095993404813,3,0.9949,2.39; 2.4; 2.41;,
192,0.38,5.0,10.0,1.0,1.319499219790753,14,0.0,1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0;,
193,0.912,5.0,10.0,1.0,1.8053540460329236,12,0.0,1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0;,
194,3.02,5.0,10.0,1.0,3.742461742986888,11,0.0,1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0;,
195,0.871,5.0,10.0,1.0,1.7677801253682548,12,0.0,1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0;,
196,8.318,5.0,1.0,1.0,3.884775447618228,2,0.9989,3.05; 3.05;,
197,0.39799999999999996,5.0,3.0,1.0,1.2218613090680743,5,0.9896,1.8; 1.79; 1.79; 1.78; 1.79;,
198,0.603,5.0,3.0,1.0,1.3689852694756377,4,0.9901,2.05; 2.05; 2.07; 2.06;,
199,2.399,5.0,10.0,1.0,3.1715708442767827,11,0.0,1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0;,
200,3.6310000000000002,5.0,1.0,1.0,2.2470446820194048,2,0.9975,3.09; 3.08;,
201,1.82,5.0,10.0,1.0,2.639247898136573,11,0.0,1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0;,
202,4.7860000000000005,5.0,3.0,1.0,4.533499007842622,3,0.9994,2.38; 2.38; 2.38;,
203,3.467,5.0,3.0,1.0,3.5333379697955785,3,0.9961,2.4; 2.4; 2.39;,
204,2.7539999999999996,5.0,1.0,1.0,1.928949659242728,2,0.9948,3.11; 3.09;,
205,5.247999999999999,5.0,3.0,1.0,4.883754467414893,3,0.9968,2.39; 2.38; 2.39;,
206,0.1,5.0,3.0,1.0,1.0364118180305293,27,0.0,1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0;,
207,0.575,5.0,10.0,1.0,1.4969585021369711,13,0.0,1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0;,
208,0.21899999999999997,5.0,3.0,1.0,1.1016418373766044,9,1.0,1.26; 1.26; 1.26; 1.26; 1.26; 1.26; 1.26; 1.26; 1.26;,
209,1.7380000000000002,5.0,10.0,1.0,2.563853617989809,11,0.0,1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0;,
210,0.55,5.0,10.0,1.0,1.4741607006303037,13,0.0,1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0;,
211,3.467,5.0,10.0,1.0,4.153373860256112,11,0.0,1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0;,
212,0.151,5.0,10.0,1.0,1.1143447480039088,18,0.0,1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0;,
213,0.34700000000000003,5.0,10.0,1.0,1.2895882044842386,14,0.0,1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0;,
